MODELO	MARCAS	RECARGO	DESC. FIJO
DETROIT	DETROIT	25%	59%
CENTURY CLASS	DETROIT	25%	59%
MC-C37	DFM	25%	59%
EQ1020TF	DFSK	25%	59%
CAMION	DINA	25%	59%
RAM 1500 SPORT	DODGE	25%	59%
AVENGER	DODGE	25%	59%
CARAVAN	DODGE	25%	59%
CHALLENGER	DODGE	25%	59%
CHARGER	DODGE	25%	59%
DAKOTA	DODGE	25%	59%
DART	DODGE	25%	59%
DH7H41-2UG	DODGE	25%	59%
DURANGO	DODGE	25%	59%
GRAND CARAVAN	DODGE	25%	59%
JCDH49-22F	DODGE	25%	59%
JOURNEY	DODGE	25%	59%
LITENER	DODGE	25%	59%
NITRO	DODGE	25%	59%
RAM	DODGE	25%	59%
RAM 1500	DODGE	25%	59%
RAM 250	DODGE	25%	59%
RAM 2500 LARAMI	DODGE	25%	59%
RAM 2500 SLT	DODGE	25%	59%
EQ5024XXYF2	DONG FENG	25%	59%
EQ1021TF22QN11	DONG FENG	25%	59%
EQ5021XXYF Y02	DONG FENG	25%	59%
EQ6450PFI	DONG FENG	25%	59%
DORS	DORS	25%	59%
FT40	DORS	25%	59%
IDT	DORS	25%	59%
MONSTER S4R	DUCATI	25%	59%
MONTER	DUCATI	25%	59%
MULTISTRADA	DUCATI	25%	59%
MONSTER	DUCATI	25%	59%
MONSTER S4R	DUCATI	25%	59%
MONSTER 796	DUCATI	25%	59%
MULTISTRADA S M	DUCATI	25%	59%
MULTISTRADA 120	DUCATI	25%	59%
PANIGALE 899	DUCATI	25%	59%
STREETFIGHTER	DUCATI	25%	59%
SUPERBIKE 848	DUCATI	25%	59%
SUPERBIKE 899	DUCATI	25%	59%
DUNH	DUNH	25%	59%
IDT	DUNH	25%	59%
TRI AXLE	DUNRITE	25%	59%
DPT23DA	ECONOLINE	25%	59%
HS700UTV-4 (C2)	EFI	25%	59%
FAB/NAL	FAB/NAL	25%	59%
REMOLQUE	FAB/NAL	25%	59%
CA1020A	FAW	25%	59%
CA6371	FAW	25%	59%
GRAND CARAVAN	FAW	25%	59%
458 SPIDER	FERRARI	25%	59%
FIAT	FIAT	25%	59%
FIORINO FURGON	FIAT	25%	59%
TITA	FIAT	25%	59%
FIORINO FURGON	FIAT	25%	59%
BRAVA	FIAT	25%	59%
DUCATO	FIAT	25%	59%
DUCATO 1	FIAT	25%	59%
FIORINO	FIAT	25%	59%
FIORINO FURGON	FIAT	25%	59%
IDEA HLX	FIAT	25%	59%
IDEA HLX ADV	FIAT	25%	59%
PALIO	FIAT	25%	59%
PANDA	FIAT	25%	59%
SIENA ELX	FIAT	25%	59%
STRADA	FIAT	25%	59%
STRADA ADVENTUR	FIAT	25%	59%
UNO FIRE	FIAT	25%	59%
195.364.0	FIAT	25%	59%
500	FIAT	25%	59%
FIORINO FURGON	FIORINO FURGON	25%	59%
FLAT BED	FONT	25%	59%
LOWBOYTRL	FONTAINE	25%	59%
REMOLQUE	FONTAINE	25%	59%
ESCAPE XLS	FORD	25%	59%
ESCAPE XLS	FORD	25%	59%
ESCAPE XLT	FORD	25%	59%
RANGER LIMITED	FORD	25%	59%
AEROMAX L9000	FORD	25%	59%
AEROSTAR	FORD	25%	59%
BRONCO	FORD	25%	59%
CARGO	FORD	25%	59%
CARPENTER	FORD	25%	59%
CONCORD	FORD	25%	59%
CONTOUR	FORD	25%	59%
COURIER	FORD	25%	59%
CROWN VICTORIA	FORD	25%	59%
CTV	FORD	25%	59%
